date_trunc;datid;datname;confl_tablespace;confl_lock;confl_snapshot;confl_bufferpin;confl_deadlock
2015-09-19 17:22:04-03;309465;avaliacao;0;0;0;0;0
2015-09-19 17:22:04-03;335964;avaliacao_auditoria;0;0;0;0;0
2015-09-19 17:22:04-03;274165;ftomasini_urcamp;0;0;0;0;0
2015-09-19 17:22:04-03;273444;pgwatch;0;0;0;0;0
2015-09-19 17:22:04-03;12070;postgres;0;0;0;0;0
2015-09-19 17:22:04-03;104050;sagu_fametro;0;0;0;0;0
2015-09-19 17:22:04-03;309423;smbd;0;0;0;0;0
2015-09-19 17:22:04-03;309438;smdbyii;0;0;0;0;0
2015-09-19 17:22:04-03;12065;template0;0;0;0;0;0
2015-09-19 17:22:04-03;1;template1;0;0;0;0;0
2015-09-19 17:22:14-03;309465;avaliacao;0;0;0;0;0
2015-09-19 17:22:14-03;335964;avaliacao_auditoria;0;0;0;0;0
2015-09-19 17:22:14-03;274165;ftomasini_urcamp;0;0;0;0;0
2015-09-19 17:22:14-03;273444;pgwatch;0;0;0;0;0
2015-09-19 17:22:14-03;12070;postgres;0;0;0;0;0
2015-09-19 17:22:14-03;104050;sagu_fametro;0;0;0;0;0
2015-09-19 17:22:14-03;309423;smbd;0;0;0;0;0
2015-09-19 17:22:14-03;309438;smdbyii;0;0;0;0;0
2015-09-19 17:22:14-03;12065;template0;0;0;0;0;0
2015-09-19 17:22:14-03;1;template1;0;0;0;0;0
